,0
312,Cercospora zeae-maydis
313,Cercospora zeina
314,Cerinomyces ceraceus
315,Ceriporiopsis (Gelatoporia)
316,Cerrena unicolor
317,Chaetomium cochliodes
318,Chaetomium globosum
319,Chaetomium thermophilum
320,Chaetosphaeria innumera
321,Chalara longipes
322,Chalaropsis thielavioides
323,Chionosphaera apobasidialis
324,Chionosphaera cuniculicola
325,Chlorociboria aeruginascens
326,Choanephora cucurbitarum
327,Choiromyces venosus
328,Chrysoporthe austroafricana
329,Chrysoporthe cubensis
330,Chrysoporthe deuterocubensis
331,Chrysosporium queenslandicum
332,Chytridium lagenaria
333,Chytriomyces sp.
334,Ciborinia camelliae
335,Circinella umbellata
336,Cladonia grayi
337,Cladonia macilenta
338,Cladonia metacorallifera
339,Cladophialophora bantiana
340,Cladophialophora carrionii
341,Cladophialophora immunda
342,Cladophialophora psammophila
343,Cladophialophora yegresii
344,Cladorrhinum bulbillosum
345,Cladosporium cladosporioides
346,Cladosporium fulvum
347,Cladosporium sphaerospermum
348,Clathrospora elynae
349,Clavaria fumosa
350,Claviceps fusiformis
351,Claviceps paspali
352,Claviceps purpurea
353,Clavicorona pyxidata
354,Clavispora lusitaniae
355,Clavulina sp.
356,Climacocystis borealis
357,Clitocybe gibba
358,Clohesyomyces aquaticus
359,Clonostachys rosea
360,Coccidioides immitis
361,Coccidioides posadasii
362,Coccodinium bartschii
363,Coccomyces strobi
364,Cochliobolus carbonum
365,Cochliobolus heterostrophus
366,Cochliobolus lunatus
367,Cochliobolus miyabeanus
368,Cochliobolus sativus
369,Cochliobolus victoriae
370,Coemansia reversa
371,Coemansia spiralis
372,Cokeromyces recurvatus
373,Colletotrichum acutatum
374,Colletotrichum caudatum
375,Colletotrichum cereale
376,Colletotrichum chlorophyti
377,Colletotrichum coccodes
378,Colletotrichum eremochloae
379,Colletotrichum falcatum
380,Colletotrichum fioriniae
381,Colletotrichum fructicola
382,Colletotrichum gloeosporioides
383,Colletotrichum godetiae
384,Colletotrichum graminicola
385,Colletotrichum higginsianum
386,Colletotrichum incanum
387,Colletotrichum lindemuthianum
388,Colletotrichum lupini
389,Colletotrichum musae
390,Colletotrichum navitas
391,Colletotrichum nymphaeae
392,Colletotrichum orbiculare
393,Colletotrichum orchidophilum
394,Colletotrichum phormii
395,Colletotrichum salicis
396,Colletotrichum sansevieriae
397,Colletotrichum simmondsii
398,Colletotrichum somersetensis
399,Colletotrichum sublineola
400,Colletotrichum tofieldiae
401,Colletotrichum truncatum
402,Colletotrichum zoysiae
403,Conidiobolus coronatus
404,Conidiobolus incongruus
405,Conidiobolus thromboides
406,Coniella lustricola
407,Coniferiporia sulphurascens
408,Coniochaeta hoffmannii
409,Coniochaeta ligniaria
410,Coniochaeta sp.
411,Coniophora olivacea
412,Coniophora puteana
413,Coniosporium apollinis
414,Coprinellus micaceus
415,Coprinellus pellucidus
416,Coprinopsis cinerea
417,Coprinopsis marcescibilis
418,Coprinopsis sclerotiger
419,Coprinopsis strossmayeri
420,Cordyceps brongniartii
421,Cordyceps cicadae
422,Cordyceps confragosa
423,Cordyceps militaris
424,Cordyceps sp.
425,Corollospora maritima
426,Cortinarius glaucopus
427,Corynespora cassiicola
428,Crassisporium funariophilum
429,Crepidotus sp.
430,Crepidotus variabilis
431,Cronartium comandrae
432,Cronartium quercuum
433,Cronartium ribicola
434,Crucibulum laeve
435,Cryomyces antarcticus
436,Cryphonectria parasitica
437,Cryphonectria radicalis
438,Cryptococcus amylolentus
439,Cryptococcus curvatus
440,Cryptococcus depauperatus
441,Cryptococcus gattii
442,Cryptococcus neoformans
443,Cryptococcus sp.
444,Cryptococcus terricola
445,Cryptococcus vishniacii
446,Cryptococcus wieringae
447,Cryptodiaporthe populea
448,Cryptodiaporthe sp.
449,Cucurbitaria berberidis
450,Cunninghamella bertholletiae
451,Cunninghamella echinulata
452,Cunninghamella elegans
453,Curvularia lunata
454,Curvularia papendorfii
455,Curvularia sp.
456,Cutaneotrichosporon arboriformis
457,Cutaneotrichosporon curvatus
458,Cutaneotrichosporon cutaneum
459,Cutaneotrichosporon cyanovorans
460,Cutaneotrichosporon daszewskae
461,Cutaneotrichosporon guehoae
462,Cutaneotrichosporon oleaginosum
463,Cutaneotrichosporon oleaginosus
464,Cyathus striatus
465,Cyberlindnera fabianii
466,Cyberlindnera jadinii
467,Cylindrobasidium torrendii
468,Cyphellophora europaea
469,Cystobasidiopsis lactophilus
470,Cystobasidium pallidum
471,Cystostereum murrayi
472,Cytidiella melzeri
473,Cytospora chrysosperma
474,Dacryopinax primogenitus
475,Dactylellina haptotyla
476,Dactylonectria macrodidyma
477,Daedalea quercina
478,Daldinia eschscholtzii
479,Daldinia eschscholzii
480,Daldinia sp.
481,Davidsoniella virescens
482,Debaryomyces fabryi
483,Debaryomyces hansenii
484,Decorospora gaudefroyi
485,Dekkera bruxellensis
486,Delitschia confertaspora
487,Delphinella strobiligena
488,Dendrothele bispora
489,Dentipellis sp.
490,Diaporthe ampelina
491,Diaporthe aspalathi
492,Diaporthe helianthi
493,Diaporthe longicolla
494,Dichomitus squalens
495,Dichotomocladium elegans
496,Didymella exigua
497,Didymella zeae-maydis
498,Didymobotryum rigidum
499,Didymocrea sadasivanii
500,Dimargaris cristalligena
501,Dioszegia aurantiaca
502,Dioszegia crocea
503,Dioszegia cryoxerica
504,Diplocarpon rosae
505,Diplodia corticola
506,Diplodia sapinea
507,Diplodia scrobiculata
508,Diplodia seriata
509,Dissoconium aciculare
510,Dothidotthia symphoricarpi
511,Dothistroma pini
512,Dothistroma septosporum
513,Drechmeria coniospora
514,Drechslerella stenobrocha
515,Earliella scabrosa
516,Edhazardia aedis
517,Elaphomyces granulatus
518,Elsinoe ampelina
519,Emergomyces orientalis
520,Emergomyces pasteuriana
521,Emmonsia crescens
522,Emmonsia parva
523,Emmonsia sp.
524,Encephalitozoon cuniculi
525,Encephalitozoon hellem
526,Encephalitozoon intestinalis
527,Encephalitozoon romaleae
528,Endocalyx cinctus
529,Endocarpon pusillum
530,Endoconidiophora laricicola
531,Endoconidiophora polonica
532,Endocronartium harknessii
533,Enterocytozoon bieneusi
534,Enterocytozoon hepatopenaei
535,Enterospora canceri
536,Entoleuca mammata
537,Entomophthora muscae
538,Entophlyctis helioformis
539,Epichloe amarillans
540,Epichloe aotearoae
541,Epichloe baconii
542,Epichloe brachyelytri
543,Epichloe bromicola
544,Epichloe elymi
545,Epichloe festucae
546,Epichloe gansuensis
547,Epichloe glyceriae
548,Epichloe sp.
549,Epichloe sylvatica
550,Epichloe typhina
551,Epichloe uncinata
552,Epicoccum nigrum
553,Epicoccum sorghinum
554,Eremomyces bilateralis
555,Eremothecium coryli
556,Eremothecium cymbalariae
557,Eremothecium gossypii
558,Eremothecium sinecaudum
559,Erysiphe necator
560,Erysiphe pisi
561,Erythrobasidium hasegawianum
562,Erythrobasidium yunnanense
563,Escovopsis weberi
564,Esteya vermicola
565,Eurotium rubrum
566,Eutypa lata
567,Exidia glandulosa
568,Exobasidium maculosum
569,Exobasidium vaccinii
